1. 答案1:  36'5/42
296. 答案296:  1486'13/31
297. 答案297:  181'20/1457
298. 答案298:  4284'4/21
299. 答案299:  1833/3299
300. 答案300:  51'17/31
301. 答案301:  165217'9/23
302. 答案302:  7'177/313
303. 答案303:  1792
304. 答案304:  73'23/30
305. 答案305:  3'799/1248
306. 答案306:  95/497
307. 答案307:  1071'49/89
308. 答案308:  57'1/7
309. 答案309:  3544'160/273
310. 答案310:  128'452/1053
311. 答案311:  601/2656
312. 答案312:  56'75/623
313. 答案313:  12
314. 答案314:  44'92/99
315. 答案315:  385'53/69
316. 答案316:  97'13/21
317. 答案317:  130'75/83
318. 答案318:  4055'3/11
319. 答案319:  4695133/6255124
320. 答案320:  42'1865/22673
321. 答案321:  6093'123/245
322. 答案322:  3171'6/35
323. 答案323:  928
324. 答案324:  17'3/5
325. 答案325:  22'18/19
326. 答案326:  37'23/31
327. 答案327:  1653
328. 答案328:  86'56841/85840
329. 答案329:  86'29/82
330. 答案330:  50'5/12
331. 答案331:  27158'37/50
332. 答案332:  29'3/4
333. 答案333:  780/7441
334. 答案334:  47
335. 答案335:  47'13/55
336. 答案336:  135'1/3
337. 答案337:  195'181/188
338. 答案338:  218'141/247
339. 答案339:  7'5297/10545
340. 答案340:  90'5/81
341. 答案341:  3287
342. 答案342:  99'1139/1704
343. 答案343:  176'2/3
344. 答案344:  50'10/59
345. 答案345:  98'989/1900
346. 答案346:  86'1/48
347. 答案347:  132'1/9
348. 答案348:  1843'19/29
349. 答案349:  1866'12/25
350. 答案350:  219'7/9
351. 答案351:  39'1568307/1965455
352. 答案352:  23'2/3
353. 答案353:  82'7/25
354. 答案354:  117
355. 答案355:  14'21/415
356. 答案356:  14'19/29
357. 答案357:  19'464/675
358. 答案358:  1'24/53
359. 答案359:  86'1101/5633
360. 答案360:  16
361. 答案361:  27'543/575
362. 答案362:  4'499/745
363. 答案363:  43'105/116
364. 答案364:  97/3916
365. 答案365:  67'17/26
366. 答案366:  141'132399/288107
367. 答案367:  10'13/14
368. 答案368:  8026'50/97
369. 答案369:  2245'5/27
370. 答案370:  128'13/848
371. 答案371:  1307'9/13
372. 答案372:  1'47/88
373. 答案373:  354'1/6
374. 答案374:  182'51/73
375. 答案375:  46'1489/4389
376. 答案376:  19'43/68
377. 答案377:  55'1/16
378. 答案378:  3484'4/9
379. 答案379:  192'21/47
380. 答案380:  41'646/2773
381. 答案381:  1361'79/88
382. 答案382:  23'112886/124695
383. 答案383:  56'664/2365
384. 答案384:  356'52/67
385. 答案385:  38
386. 答案386:  95'1087/1342
387. 答案387:  73/275
388. 答案388:  104377/242364
389. 答案389:  130'935/8176
390. 答案390:  5756/151951
391. 答案391:  87'21/64
392. 答案392:  8230'367/368
393. 答案393:  23'5/11
394. 答案394:  15'1579/18537
395. 答案395:  53998
396. 答案396:  7254'15798/58765
397. 答案397:  24'135491/545010
398. 答案398:  12656'5/22
399. 答案399:  1'16922/34523
400. 答案400:  39208/89133
401. 答案401:  93'26/51
402. 答案402:  47
403. 答案403:  106'18/19
404. 答案404:  38'12/59
405. 答案405:  1820'175/639
406. 答案406:  27'8753/19005
407. 答案407:  1'5321489/14988400
408. 答案408:  203'2291/9936
409. 答案409:  47'29/30
410. 答案410:  667/1248
411. 答案411:  4
412. 答案412:  70'1061/2134
413. 答案413:  2/3
414. 答案414:  6664
415. 答案415:  41'73/89
416. 答案416:  3070
417. 答案417:  820'28/53
418. 答案418:  52'7/23
419. 答案419:  20'4128/4363
420. 答案420:  0
421. 答案421:  52'2/5
422. 答案422:  90'3085/5244
423. 答案423:  145'4/5
424. 答案424:  6'3594/6853
425. 答案425:  64'42273/42275
426. 答案426:  191'1/31
427. 答案427:  1102'19/47
428. 答案428:  20'2/31
429. 答案429:  26/57
430. 答案430:  8'17/20
431. 答案431:  4'84/941
432. 答案432:  404'25/29
433. 答案433:  37'28237/35644
434. 答案434:  1'458/2629
435. 答案435:  115'23/64
436. 答案436:  99'3/17
437. 答案437:  60/79
438. 答案438:  187'1/51
439. 答案439:  1053/1088
440. 答案440:  9/259
441. 答案441:  3380/5157
442. 答案442:  103341/1175312
443. 答案443:  93'8/17
444. 答案444:  15/37
445. 答案445:  69'127/156
446. 答案446:  81'15/17
447. 答案447:  12'19/32
448. 答案448:  4032
449. 答案449:  165'221/644
450. 答案450:  56'3/14
451. 答案451:  35'7/10
452. 答案452:  1353/1759
453. 答案453:  80'41/56
454. 答案454:  83'8/11
455. 答案455:  111573
456. 答案456:  6768'475/682
457. 答案457:  518'4/5
458. 答案458:  25'18/31
459. 答案459:  277/546
460. 答案460:  46'43/52
461. 答案461:  74'9/20
462. 答案462:  1581
463. 答案463:  3'596/783
464. 答案464:  2341'14849/16983
465. 答案465:  1'3/13
466. 答案466:  91'4/37
467. 答案467:  72'165/406
468. 答案468:  234'2192/4183
469. 答案469:  15
470. 答案470:  4712'27880/234143
471. 答案471:  350/1073
472. 答案472:  2274'1/4
473. 答案473:  1218'85/44028
474. 答案474:  945
475. 答案475:  31'147/187
476. 答案476:  11'23/73
477. 答案477:  229390/890331
478. 答案478:  31'11/29
479. 答案479:  48'26/29
480. 答案480:  2551'2/41
481. 答案481:  1'268/315
482. 答案482:  74'77/200
483. 答案483:  4'83/195
484. 答案484:  880
485. 答案485:  7933'16/37
486. 答案486:  75'5/18
487. 答案487:  105451/279461
488. 答案488:  104
489. 答案489:  8836'19/102
490. 答案490:  5'271/1071
491. 答案491:  416
492. 答案492:  179
493. 答案493:  76'36/65
494. 答案494:  45'1/8
495. 答案495:  77'2/7
496. 答案496:  192'988/1185
497. 答案497:  1510'37/52
498. 答案498:  27'373/551
499. 答案499:  173'35/57
500. 答案500:  1419'605/1599
501. 答案501:  5753'5333/6231
502. 答案502:  34'19/25
503. 答案503:  3150
504. 答案504:  5472/6499
505. 答案505:  130
506. 答案506:  23/2490
507. 答案507:  810
508. 答案508:  34'7/17
509. 答案509:  448/675
510. 答案510:  3'7/23
511. 答案511:  1537'5/11
512. 答案512:  140'246/1027
513. 答案513:  10'4/19
514. 答案514:  10'17581/45260
515. 答案515:  931'2/3
516. 答案516:  25'14192/14775
517. 答案517:  95'79/84
518. 答案518:  451/11223
519. 答案519:  10
520. 答案520:  180'4983/13832
521. 答案521:  875'1/6
522. 答案522:  209'23576/25365
523. 答案523:  29/57
524. 答案524:  141'563/1365
525. 答案525:  200
526. 答案526:  48'40/57
527. 答案527:  72'31/82
528. 答案528:  26'37118/170725
529. 答案529:  3'92/121
530. 答案530:  171
531. 答案531:  6354'118/129
532. 答案532:  95'28/41
533. 答案533:  53
534. 答案534:  53
535. 答案535:  52'335693/1319050
536. 答案536:  69'29/30
537. 答案537:  4'13/19
538. 答案538:  95'37/90
539. 答案539:  46967/197210
540. 答案540:  114
541. 答案541:  86'11/60
542. 答案542:  60'331/4606
543. 答案543:  83'163/1596
544. 答案544:  63'14/85
545. 答案545:  1'11/20
546. 答案546:  9'513/680
547. 答案547:  62'1567/1968
548. 答案548:  97
549. 答案549:  66'282/425
550. 答案550:  7/9500
551. 答案551:  13'86/7857
552. 答案552:  14'425/1363
553. 答案553:  2'13093/24123
554. 答案554:  132
555. 答案555:  209622
556. 答案556:  391'9/13
557. 答案557:  3'61543/103700
558. 答案558:  33'4/15
559. 答案559:  46'4/5
560. 答案560:  133'13/31
561. 答案561:  1'6231/49837
562. 答案562:  148'336165/385984
563. 答案563:  156'57/73
564. 答案564:  50'19/32
565. 答案565:  8'53/780
566. 答案566:  78'9/40
567. 答案567:  1/34
568. 答案568:  37895
569. 答案569:  21'2/3
570. 答案570:  138'19/43
571. 答案571:  8125/471429
572. 答案572:  816
573. 答案573:  7'393/781
574. 答案574:  96
575. 答案575:  2578'541/558
576. 答案576:  114
577. 答案577:  4738'3/5
578. 答案578:  64'51/53
579. 答案579:  41'2/5
580. 答案580:  93'203/341
581. 答案581:  253440
582. 答案582:  1138
583. 答案583:  1607'11/37
584. 答案584:  681'48/49
585. 答案585:  29'7/17
586. 答案586:  5'53/84
587. 答案587:  88'44092/58347
588. 答案588:  22'3/10
589. 答案589:  237'38/89
590. 答案590:  4469'17/20
591. 答案591:  235'41/100
592. 答案592:  9180'49/118
593. 答案593:  63'3/19
594. 答案594:  186183/316438
595. 答案595:  3'5/7
596. 答案596:  94'37/60
597. 答案597:  22'19/52
598. 答案598:  572'67/78
599. 答案599:  222'4058/5661
600. 答案600:  155'2461/2501
601. 答案601:  37'463/912
602. 答案602:  34'927/3395
603. 答案603:  66'195/1036
604. 答案604:  680'29/44
605. 答案605:  13'12688/794871
606. 答案606:  16'44/61
607. 答案607:  82'17354/17595
608. 答案608:  62'1520/26559
609. 答案609:  693/2074
610. 答案610:  61/114
611. 答案611:  70
612. 答案612:  151'1/4
613. 答案613:  378
614. 答案614:  360/2053
615. 答案615:  36'3061/25662
616. 答案616:  47'1/8
617. 答案617:  17'149/473
618. 答案618:  61'103977/109117
619. 答案619:  2'107/460
620. 答案620:  827'25/56
621. 答案621:  100
622. 答案622:  2405
623. 答案623:  43384/157871
624. 答案624:  8
625. 答案625:  48'14/23
626. 答案626:  99/4520
627. 答案627:  132'1131/1679
628. 答案628:  1225/1742
629. 答案629:  10277'1/7
630. 答案630:  93'19/81
631. 答案631:  9'39/575
632. 答案632:  117'3/19
633. 答案633:  16'5/9
634. 答案634:  8'1/21
635. 答案635:  394550'17/54
636. 答案636:  11255/38736
637. 答案637:  4872
638. 答案638:  3127/31752
639. 答案639:  66'1/9
640. 答案640:  2'1/2
641. 答案641:  3171
642. 答案642:  161
643. 答案643:  1379'31/61
644. 答案644:  30'23/40
645. 答案645:  83'2086/2655
646. 答案646:  2'17/18
647. 答案647:  64
648. 答案648:  6'169/170
649. 答案649:  133'4/13
650. 答案650:  3981'1/2
651. 答案651:  88'11/29
652. 答案652:  280/2041083
653. 答案653:  10/53
654. 答案654:  5'49/78
655. 答案655:  1'25/46
656. 答案656:  103'1834/2001
657. 答案657:  82'87/260
658. 答案658:  42'17/42
659. 答案659:  4'55/56
660. 答案660:  137
661. 答案661:  9/17
662. 答案662:  227'9/25
663. 答案663:  1'16/27
664. 答案664:  5'1/13
665. 答案665:  77'116401/230688
666. 答案666:  46/47
667. 答案667:  59312'1/2
668. 答案668:  1'1649/2966
669. 答案669:  998'5/12
670. 答案670:  73
671. 答案671:  86'639/1118
672. 答案672:  362805/389353
673. 答案673:  5643
674. 答案674:  82'2/3
675. 答案675:  3053'5/23
676. 答案676:  58'377/1127
677. 答案677:  693'3/41
678. 答案678:  18248'1/6
679. 答案679:  377/2754
680. 答案680:  36'23/84
681. 答案681:  39'251/946
682. 答案682:  105'326/549
683. 答案683:  105
684. 答案684:  56'269/560
685. 答案685:  56'21/23
686. 答案686:  13309'137/336
687. 答案687:  10'10/31
688. 答案688:  247'1283/3364
689. 答案689:  334226'34/55
690. 答案690:  100'1/198
691. 答案691:  46401/72352
692. 答案692:  43'1/13
693. 答案693:  107'1120/2537
694. 答案694:  81'1/2
695. 答案695:  475/24273
696. 答案696:  1'25405/101598
697. 答案697:  40'1/2
698. 答案698:  7'158463/704444
699. 答案699:  464
700. 答案700:  38'1117/1475
701. 答案701:  71'1/3
702. 答案702:  36'5/78
703. 答案703:  2'10/11
704. 答案704:  55'11/32
705. 答案705:  91'31/66
706. 答案706:  11'1337/1823
707. 答案707:  87
708. 答案708:  47'23/81
709. 答案709:  108996
710. 答案710:  74'88/97
711. 答案711:  21'1057/1343
712. 答案712:  53/110
713. 答案713:  48'362/825
714. 答案714:  56
715. 答案715:  22'11/75
716. 答案716:  2912
717. 答案717:  6175
718. 答案718:  91
719. 答案719:  6552/734425
720. 答案720:  48'274/5161
721. 答案721:  1408
722. 答案722:  40/69
723. 答案723:  52
724. 答案724:  37'865/1333
725. 答案725:  71'1655/5084
726. 答案726:  308'1/18
727. 答案727:  98'192757/284992
728. 答案728:  86'69/155
729. 答案729:  9'293229/374315
730. 答案730:  4'21/128
731. 答案731:  212'197/479
732. 答案732:  173/1260
733. 答案733:  77'317/3910
734. 答案734:  4899'49/55
735. 答案735:  533'49/376
736. 答案736:  4599'53443/54670
737. 答案737:  79'6/25
738. 答案738:  4594'8/11
739. 答案739:  17'9/26
740. 答案740:  148'8/19
741. 答案741:  1'209/1591
742. 答案742:  33'341/503
743. 答案743:  46'51/94
744. 答案744:  144'2/3
745. 答案745:  93'9/35
746. 答案746:  47'2287/2479
747. 答案747:  2
748. 答案748:  235
749. 答案749:  24'7625/8577
750. 答案750:  139918'12/61
751. 答案751:  40'9/14
752. 答案752:  15'5292/8789
753. 答案753:  9'6/13
754. 答案754:  105
755. 答案755:  45'1341/10804
756. 答案756:  15'1/2
757. 答案757:  57'115/168
758. 答案758:  3
759. 答案759:  32'416/561
760. 答案760:  95'1/14
761. 答案761:  4954'7/13
762. 答案762:  86136/87167
763. 答案763:  19/4424
764. 答案764:  4'52/99
765. 答案765:  77'48/77
766. 答案766:  39'769/1062
767. 答案767:  19272/28175
768. 答案768:  9/88
769. 答案769:  5782
770. 答案770:  1921'411/611
771. 答案771:  52
772. 答案772:  55'2/7
773. 答案773:  59670/65317
774. 答案774:  34'16039/25160
775. 答案775:  88
776. 答案776:  45'3/4
777. 答案777:  2754
778. 答案778:  104'11/60
779. 答案779:  178'4/5
780. 答案780:  92'295/318
781. 答案781:  37'25/37
782. 答案782:  109'4555/5382
783. 答案783:  233183'1/5
784. 答案784:  15'3/4
785. 答案785:  10'21/22
786. 答案786:  1098'2/7
787. 答案787:  43'2/67
788. 答案788:  5341'851/1100
789. 答案789:  11'57/65
790. 答案790:  5'19/309
791. 答案791:  77/218
792. 答案792:  119798
793. 答案793:  24624/25645
794. 答案794:  64'11474767/13956943
795. 答案795:  52'25/172
796. 答案796:  842'974/1533
797. 答案797:  6245'180/611
798. 答案798:  58'17/62
799. 答案799:  102
800. 答案800:  18'347/360
801. 答案801:  3'679/1107
802. 答案802:  73'201/1501
803. 答案803:  31'2/9
804. 答案804:  14'2450/19121
805. 答案805:  1'972/4579
806. 答案806:  5766
807. 答案807:  72'91/96
808. 答案808:  1'415/3336
809. 答案809:  58'25079/34920
810. 答案810:  24
811. 答案811:  74'25/27
812. 答案812:  81'1145/1196
813. 答案813:  1/14
814. 答案814:  70'18/35
815. 答案815:  37'24/41
816. 答案816:  1'8/17
817. 答案817:  3471/116348
818. 答案818:  918
819. 答案819:  45/61
820. 答案820:  486'109/134
821. 答案821:  6'64/553
822. 答案822:  173'945/1271
823. 答案823:  30'6/13
824. 答案824:  406246'207/413
825. 答案825:  31'13/28
826. 答案826:  23'79/87
827. 答案827:  257'5/7
828. 答案828:  66'1/6
829. 答案829:  110
830. 答案830:  1'263/782
831. 答案831:  11'7/8
832. 答案832:  3876
833. 答案833:  40'14/19
834. 答案834:  121'21/83
835. 答案835:  741'322/1045
836. 答案836:  87'71/80
837. 答案837:  127
838. 答案838:  1166341'1/11
839. 答案839:  95'941/2538
840. 答案840:  788'27295/31806
841. 答案841:  5539/14784
842. 答案842:  13'49/51
843. 答案843:  22'15/19
844. 答案844:  0
845. 答案845:  34'39/40
846. 答案846:  179'1/15
847. 答案847:  52'1/2
848. 答案848:  170'70373/136091
849. 答案849:  628'9/35
850. 答案850:  6051'255/989
851. 答案851:  63'1349/1944
852. 答案852:  1173/92015
853. 答案853:  40/73
854. 答案854:  5254
855. 答案855:  207'7/10
856. 答案856:  77'19/33
857. 答案857:  24'6/17
858. 答案858:  142'113/156
859. 答案859:  2'607/744
860. 答案860:  1466
861. 答案861:  64'73/156
862. 答案862:  2925/7903
863. 答案863:  6'32/69
864. 答案864:  82'1/3
865. 答案865:  21'1379741/1380023
866. 答案866:  4'467/1518
867. 答案867:  150'663/1909
868. 答案868:  76'7/45
869. 答案869:  87'17/39
870. 答案870:  42'53/85
871. 答案871:  31'108/1147
872. 答案872:  58319/228582
873. 答案873:  44'1176/6175
874. 答案874:  7128'1/3
875. 答案875:  65'4/5
876. 答案876:  4
877. 答案877:  8'29/32
878. 答案878:  65'889/3705
879. 答案879:  27'36/89
880. 答案880:  78'41/72
881. 答案881:  1'7/37
882. 答案882:  1218
883. 答案883:  120'262/989
884. 答案884:  1137'3/10
885. 答案885:  16'2/7
886. 答案886:  1528'17/35
887. 答案887:  48'16/55
888. 答案888:  4089/4240
889. 答案889:  37'51/70
890. 答案890:  426'42479/51333
891. 答案891:  20'1/7
892. 答案892:  83'175/832
893. 答案893:  576'5/12
894. 答案894:  885'1/2
895. 答案895:  8'11/92
896. 答案896:  765
897. 答案897:  122'19/31
898. 答案898:  97/2598
899. 答案899:  28'3811/4062
900. 答案900:  2553258'779/2387
901. 答案901:  16/41
902. 答案902:  3
903. 答案903:  4375'4/5
904. 答案904:  141'253/1215
905. 答案905:  140'2/41
906. 答案906:  209'19/21
907. 答案907:  14/37
908. 答案908:  5572/9805
909. 答案909:  29'43/61
910. 答案910:  16379'21/31
911. 答案911:  826'2/3
912. 答案912:  96716
913. 答案913:  71'61/128
914. 答案914:  11'433/495
915. 答案915:  65'103/291
916. 答案916:  8/163
917. 答案917:  1'5/6
918. 答案918:  69'17/560
919. 答案919:  174'3/16
920. 答案920:  455'5/11
921. 答案921:  194139/385672
922. 答案922:  31'18189/36850
923. 答案923:  137'431/665
924. 答案924:  152'40/301
925. 答案925:  326'12/13
926. 答案926:  24
927. 答案927:  12'2/31
928. 答案928:  2'2911958/7243065
929. 答案929:  32'247/935
930. 答案930:  18'4/33
931. 答案931:  32
932. 答案932:  612
933. 答案933:  23'649/1104
934. 答案934:  61'359/1757
935. 答案935:  62
936. 答案936:  441/697
937. 答案937:  8/49
938. 答案938:  50'541/930
939. 答案939:  224'4/7
940. 答案940:  1930'34/35
941. 答案941:  1599/3100
942. 答案942:  1'1175/1449
943. 答案943:  159'157/1125
944. 答案944:  2709'2371/79885
945. 答案945:  11/79
946. 答案946:  3807
947. 答案947:  67'23/33
948. 答案948:  36
949. 答案949:  3856'9294/32785
950. 答案950:  77'376/1729
951. 答案951:  93'3/410
952. 答案952:  93'83/150
953. 答案953:  2
954. 答案954:  70'6/11
955. 答案955:  65
956. 答案956:  4166'62/215
957. 答案957:  19'22/91
958. 答案958:  41'13/25
959. 答案959:  38'7/60
960. 答案960:  218
961. 答案961:  26'3/5
962. 答案962:  89'984/3625
963. 答案963:  25309'11/23
964. 答案964:  804
965. 答案965:  1'355/1412
966. 答案966:  115'2/3
967. 答案967:  22'13/31
968. 答案968:  145418
969. 答案969:  1'73/96
970. 答案970:  34'10/57
971. 答案971:  72'9/23
972. 答案972:  89'38653/57652
973. 答案973:  6'2082/6905
974. 答案974:  84'41/89
975. 答案975:  193627'237/1769
976. 答案976:  5221'21/22
977. 答案977:  3232
978. 答案978:  17'3/58
979. 答案979:  1'2161/2344
980. 答案980:  9'32/35
981. 答案981:  110'23/81
982. 答案982:  17'133/1431
983. 答案983:  22'25/77
984. 答案984:  27'16/17
985. 答案985:  38'1246/2091
986. 答案986:  9/88
987. 答案987:  80'17/30
988. 答案988:  1674'10/23
989. 答案989:  78'5/23
990. 答案990:  39'11/12
991. 答案991:  31'15/17
992. 答案992:  122
993. 答案993:  146'435/1139
994. 答案994:  13'7/15
995. 答案995:  55'22/1061
996. 答案996:  99'3913/42340
997. 答案997:  202'17/59
998. 答案998:  5873'69/3320
999. 答案999:  1'36/53
1000. 答案1000:  2'736/4895
1001. 答案1001:  59'29/72
1002. 答案1002:  60795'295/2322
1003. 答案1003:  152'14/15
1004. 答案1004:  135/292
1005. 答案1005:  1773'129/416
1006. 答案1006:  732/1333
1007. 答案1007:  7643'430/693
1008. 答案1008:  17'1/2
1009. 答案1009:  2241'183/247
